time,open,high,low,close,HH,HL,LH,LL,9,23,50,200,Cross Up,Cross Down,MA,Pivot High,Pivot Low,Mid,Upper,Lower,Volume,Volume MA,WT,Signal line,in/out mFlow,Stoch RSI K%,Stoch RSI D%,RSI,RSI MA,Midline,End Neutral Zone,Begin Neutral Zone,Bull Floor,Bear Ceiling
1718676000,973.2,976.5,971.9,972.4,,,,,,,970.2821356027827,988.3255526184777,0,0,969.8782264079616,,,,,,2012,3208.55,51.57994557666541,46.42681403982474,-5.485187553777848,98.75912898333858,99.58637632777953,59.763559835658995,48.27850149423364,50,70,30,,
1718690400,972.5,973.6,963.2,968.6,,,,,,,970.2161695007128,988.1292784630699,0,0,969.8270973516431,,,,,,3198,3235.05,48.53415749455772,49.449640773194915,-12.545568354166264,92.01194913529132,96.92369270620998,55.740493985942855,49.27633244676328,50,70,30,,
1718704800,968.75,974.35,958.4,971.5,,,,,,,970.2665157948024,987.9638130057259,0,0,969.8940134575774,,,,,,5094,3390.85,49.0939580374487,49.73602036955729,-12.797088446684398,88.43758391972081,93.06955401278357,58.060772882864455,50.33702605149894,50,70,30,,
1718719200,971.55,975.1,965.15,973.25,,,,,,,970.3835151753984,987.8174069061664,0,0,970.0282529192743,,,,,,3716,3392.65,50.57802130577363,49.40204561259336,-11.599627507052517,87.70105150593656,89.3835281869829,59.442522330394425,51.97443444126005,50,70,30,,
1718733600,973.15,975.45,972.25,974.05,,,,,,,970.5272988940103,987.680417782722,0,0,970.1891228025033,,,,,,971,3135.2,51.458896876484964,50.37695873990245,-9.218142612351983,93.50539124833416,89.88134222466385,60.08985687542888,53.39702177037879,50,70,30,,
1718748000,974.45,976.45,969.15,973.85,,,,,,,970.6576008981667,987.5428016853815,0,0,970.3355578904032,,,,,,1280,2856.5,50.68758365733237,50.90816727986367,-8.201288211590565,95.72575905376162,92.31073393601078,59.83274539514114,54.43939054458348,50,70,30,,
1718762400,973.9,976.6,969.65,975,,,,,,,970.8278910590229,987.4179976885121,0,0,970.5221355747871,,,,,,1409,2872.25,50.81307936250481,50.98651996544073,-4.29905435869459,97.70316248420727,95.64477092876768,60.86952849239286,55.33727831058929,50,70,30,,
1718776800,975.1,983.65,971.9,979.85,,,,,,,971.1816992527868,987.3426942289249,0,0,970.8952501517956,,,,,,2080,2879.2,56.23457497685892,52.578412665565374,2.1026647020180036,98.64600258985695,97.35830804260861,64.97550299165025,56.517554421045574,50,70,30,,
1718791200,979.8,983.65,977.75,979.7,,,,,,,971.5157502624814,987.2666475201794,0,0,971.2474401457238,,,,,,3207,2929.45,57.92497266922562,54.99087566952979,8.618227595448602,99.70136311937098,98.68350939781173,64.74921065391553,58.07480056288377,50,70,30,,
1718805600,979.8,984.05,976.2,978.6,,,,,,,971.7935639776782,987.1804122214711,0,0,971.5415425398949,,,,,,2445,2834.7,56.127105801962514,56.76221781601569,5.766111928199891,94.43332151798562,97.59356240907118,63.0159775081734,59.71639998138074,50,70,30,,
1718820000,978.55,979.1,977.3,977.3,,,,,,,972.0095026452202,987.0820996620535,0,0,971.771880838299,,,,,,36,2493.55,51.598708202550455,55.216928891246205,4.678163168408588,79.90084273449907,91.34517579061855,60.9398258865025,60.30998256013712,50,70,30,,
1718834400,978.6,983.2,972.25,980.25,,,,,,,972.3326594042312,987.0141185708887,0,0,972.111005604767,,,,,,2011,2335.9,52.73159734919236,53.48580378456845,5.024189718038585,76.16195658189919,83.49870694479462,63.85037872699675,60.76058998997701,50,70,30,,
1718848800,980.05,986.3,977.45,982.7,,,,,,,972.7392217805359,986.9711920179445,0,0,972.5345653805763,,,,,,2400,2441.5,56.21199760076683,53.51410105083656,8.955723433452945,81.42999818328457,79.1642658332276,66.10905380106128,61.29375381023096,50,70,30,,
1718863200,982.75,988.95,979.7,985.15,,,,,,,973.2259189656129,986.9530707043332,0,0,973.0391827653532,,,,,,3562,2541.3,60.50478914917792,56.48279469971238,4.935005248759694,95.96247696677112,84.51814391065163,68.24572129556506,61.83465361869201,50,70,30,,
1718877600,985.05,987.95,968.75,975.95,,968.75,,,,,973.3327456728438,986.8435874137429,0,0,973.1556154547391,,,,,,6425,2759.65,44.94639082551706,53.88772585848727,-6.282114538971911,66.66666666666667,81.35304727224077,54.38110885545433,61.45019283439167,50,70,30,,
1718892000,976.05,984.95,974.8,980.45,,,,,,,973.6118536856734,986.7799696285315,0,0,973.4473908365495,,,,,,4501,2834.6,42.18478098300297,49.21198698589932,5.749272953937023,43.967638950098255,68.86559419451201,58.79105395580752,61.668089975096294,50,70,30,,
1718906400,979.85,983.45,979.85,981.1,,,,,,,973.9055064823136,986.7234525177998,0,0,973.7534952030875,,,,,,849,2640.45,41.018351627741175,42.71650781208708,9.071846868061385,22.7382175197058,44.457507712156904,59.401550807847286,61.763859826880775,50,70,30,,
1718920800,982.5,984.3,978.85,980.15,,,,,,,974.1503885810464,986.6580450300605,0,0,974.009355394964,,,,,,1741,2508.85,36.998525021361814,40.06721921070199,9.220490810864774,31.578990019152325,32.761615496318775,58.048001363349016,61.66425118637754,50,70,30,,
1718935200,980.25,985.6,978.75,984,,,,,,,974.5366478523779,986.6315968208062,0,0,974.4089811791655,,,,,,1862,2549.55,43.76116321178039,40.5926799536278,7.94643763577956,38.917581928385694,31.07826315574792,61.84268803549211,61.78945341209634,50,70,30,,
1718949600,983.95,993.3,974.95,989.05,,,,,,,975.1057989169905,986.655660534032,0,0,974.9946219319988,,,,,,4488,2664.35,55.9688290452364,45.5761724261262,6.878818699715907,55.169790562300726,41.888787503279566,66.1657825827329,62.24181321121006,50,70,30,,
1718964000,989.15,1002.3,983.95,986.35,,,,,,,975.5467479790693,986.6526191356834,0,0,975.4488370547189,,,,,,7564,2941.95,56.77282718370151,52.167606480239435,19.827132424474627,64.96619569135437,53.01785606068025,62.113847647826084,62.33069315088386,50,70,30,,
1718978400,985.15,997.5,982.8,993.45,,,,,,,976.2488362936157,986.7202547661741,0,0,976.1688835725301,,,,,,10764,3320.25,66.68333678340286,59.80833100411359,25.87698520886957,79.07341020864264,66.40313215409923,67.71315037506527,62.52623939255635,50,70,30,,
1718992800,992.95,994.3,989.45,989.5,,,,,,,976.7684897722975,986.7479139227296,0,0,976.7021282296289,,,,,,1473,3139.2,64.68412731971287,62.713430428939084,23.109352891629413,69.59413002502514,71.21124530834071,62.20504213698591,62.34451306991853,50,70,30,,
1719180000,992.9,993.8,986.4,989.55,,,,,,,977.2697254675015,986.7757953762348,0,0,977.2160431004437,,,,,,5292,3218,61.933151902168966,64.43353866842823,16.180326168819732,69.93443771968141,72.86732598444972,62.24690602760892,62.28957939273534,50,70,30,,
