time,open,high,low,close
1746568800,4.7595,4.807,4.6125,4.62
1746655200,4.6185,4.6775,4.5425,4.602
1746741600,4.6035,4.74,4.4775,4.654
1747000800,4.69,4.7295,4.5895,4.6305
1747087200,4.6305,4.7315,4.605,4.7085
1747173600,4.711,4.737,4.628,4.6435
1747260000,4.6435,4.7075,4.5715,4.681
1747346400,4.682,4.698,4.569,4.5915
1747605600,4.6085,4.6785,4.561,4.6635
1747692000,4.6635,4.6815,4.5855,4.674
1747778400,4.6765,4.712,4.6485,4.6575
1747864800,4.6625,4.7435,4.569,4.678
1747951200,4.6785,4.89,4.629,4.865
1748210400,4.8705,4.887,4.7295,4.745
1748383200,4.745,4.77,4.665,4.684
1748469600,4.679,4.7455,4.6515,4.671
1748556000,4.6745,4.727,4.646,4.702
1748815200,4.72,4.9495,4.72,4.858
1748901600,4.8485,4.8695,4.7185,4.865
1748988000,4.863,4.916,4.839,4.901
1749074400,4.8985,5.0615,4.88,4.9115
1749160800,4.911,4.9495,4.823,4.8325
1749420000,4.8385,4.9395,4.8245,4.901
1749506400,4.903,4.926,4.851,4.889
1749592800,4.8905,4.9135,4.776,4.8065
1749679200,4.8065,4.8495,4.765,4.843
1749765600,4.8425,4.857,4.709,4.7515
1750024800,4.7645,4.868,4.728,4.8145
1750111200,4.821,4.8405,4.777,4.7915
1750284000,4.851,4.8735,4.743,4.834
1750629600,4.77,4.919,4.77,4.8865
1750716000,4.8875,4.95,4.8425,4.9005
1750802400,4.8975,4.9295,4.8725,4.926
1750888800,4.9315,5.0995,4.915,5.0535
1750975200,5.109,5.1455,5.021,5.122
1751234400,5.1245,5.1385,5.0625,5.1115
1751320800,5.109,5.1925,5.0755,5.099
1751407200,5.0985,5.212,5.077,5.196
1751493600,5.1995,5.2045,5.1205,5.136
1751580000,5.0645,5.0925,4.9825,5.005
1751925600,5.012,5.8955,4.9725,5.51
1752012000,5.48,5.7305,5.425,5.5435
1752098400,5.541,5.6855,5.5255,5.6275
1752184800,5.629,5.6625,5.4735,5.584
1752444000,5.583,5.603,5.455,5.5255
1752530400,5.525,5.6125,5.4925,5.5165
1752616800,5.5155,5.5665,5.468,5.5185
1752703200,5.5175,5.5295,5.474,5.498
1752789600,5.498,5.615,5.4955,5.5815
1753048800,5.591,5.6685,5.5635,5.6405
1753135200,5.641,5.7715,5.575,5.768
1753221600,5.765,5.93,5.722,5.8395
1753308000,5.8445,5.9585,5.781,5.826
1753394400,5.827,5.838,5.744,5.804
1753653600,5.7965,5.846,5.4265,5.62
1753740000,5.624,5.6755,5.555,5.6695
1753826400,5.66,5.83,4.503,4.63
1753912800,4.6395,4.652,4.3325,4.4305
1753999200,4.433,4.451,4.364,4.443
1754258400,4.4505,4.48,4.4005,4.456
1754344800,4.4585,4.471,4.3725,4.3795
1754431200,4.381,4.4355,4.38,4.413
1754517600,4.4125,4.449,4.3905,4.414
1754604000,4.414,4.4915,4.4015,4.485
1754863200,4.4835,4.485,4.4275,4.4445
1754949600,4.4505,4.539,4.4435,4.517
1755036000,4.5165,4.55,4.484,4.4975
1755122400,4.4975,4.5145,4.4495,4.4975
1755208800,4.497,4.518,4.466,4.489
1755468000,4.488,4.505,4.45,4.477
1755554400,4.4775,4.493,4.4205,4.4295
1755640800,4.43,4.4475,4.414,4.433
1755727200,4.4315,4.4555,4.407,4.448
1755813600,4.452,4.4805,4.4275,4.461
1756072800,4.46,4.499,4.454,4.4605
1756159200,4.4635,4.488,4.431,4.472
1756245600,4.4685,4.4755,4.3745,4.423
1756332000,4.5,4.555,4.4845,4.5445
1756418400,4.5445,4.594,4.5365,4.585
1756677600,4.592,4.649,4.541,4.641
1756850400,4.6455,4.675,4.602,4.617
1756936800,4.6145,4.6205,4.552,4.5645
1757023200,4.566,4.62,4.5365,4.5435
1757282400,4.543,4.579,4.5255,4.567
1757368800,4.565,4.59,4.546,4.5755
1757455200,4.5745,4.626,4.5635,4.605
1757541600,4.605,4.684,4.597,4.671
1757628000,4.6725,4.6995,4.643,4.648
1757887200,4.6525,4.726,4.6385,4.719
1757973600,4.7195,4.722,4.6805,4.699
1758060000,4.699,4.704,4.583,4.6155
1758146400,4.615,4.631,4.5765,4.6
1758232800,4.6,4.6425,4.589,4.6305
1758492000,4.6305,4.653,4.599,4.651
1758578400,4.6505,4.6545,4.615,4.64
1758664800,4.6415,4.8445,4.592,4.8275
1758751200,4.825,4.9395,4.747,4.7885
1758837600,4.788,4.8,4.714,4.7645
1759096800,4.76,4.9205,4.7505,4.906
1759183200,4.9055,4.913,4.82,4.8775
1759269600,4.879,4.904,4.816,4.8945
1759356000,4.892,4.9895,4.85,4.954
1759442400,4.954,5.1205,4.938,5.085
1759701600,5.089,5.124,5.0145,5.0415
1759788000,5.042,5.1465,5.032,5.091
1759874400,5.094,5.156,5.065,5.0815
1759960800,5.0805,5.261,5.04,5.14
1760047200,5.1405,5.1785,4.822,4.845
1760306400,4.923,5.18,4.9225,5.13
1760392800,5.1325,5.178,4.9315,4.998
1760479200,5.0105,5.0825,4.945,4.972
1760565600,4.9765,5.0165,4.9305,4.9835
1760652000,4.9875,5.0245,4.8835,4.9975
1760911200,4.9885,5.076,4.971,5.0485
1760997600,5.05,5.072,4.9145,4.9525
1761084000,4.956,5.016,4.9155,5.005
1761170400,4.9925,5.1185,4.9785,5.0855
1761256800,5.088,5.1515,5.0675,5.1175
1761516000,5.1725,5.247,5.1145,5.159
1761602400,5.163,5.1845,5.083,5.169
1761688800,5.171,5.279,5.149,5.2015
1761775200,5.2035,5.2335,5.0425,5.104
1761861600,5.111,5.1285,5.048,5.114
1762124400,5.1,5.1295,5.0185,5.069
1762210800,5.0545,5.066,4.9075,4.9255
1762297200,4.928,5.007,4.888,4.989
1762383600,4.993,5.0375,4.9525,4.9755
1762470000,4.9735,5.008,4.9515,4.958
1762729200,4.97,5.12,4.967,5.0995
1762815600,5.0955,5.1045,5.052,5.0635
1762902000,5.0635,5.1505,5.025,5.0865
1762988400,5.0925,5.163,5.0365,5.0575
1763074800,5.0615,5.092,5.002,5.05
1763334000,5.0535,5.058,4.961,4.9895
1763420400,4.9925,5.007,4.9475,4.9695
1763506800,4.968,5.0395,4.953,5.031
1763593200,5.0285,5.0545,4.9455,4.9535
1763679600,4.9535,5.023,4.915,4.996
1763938800,5.0105,5.02,4.9605,5.002
1764025200,5.0045,5.105,4.994,5.024
1764111600,5.1095,5.21,5.101,5.2035
1764198000,5.206,5.3095,5.133,5.278
