time,open,high,low,close
1687219200,26840,28441,26651,28315
1687305600,28316,30755,28280,30009
1687392000,30010,30505,29600,29889
1687478400,29891,31458,29820,30716
1687564800,30703,30821,30287,30548
1687651200,30550,31047,30295,30477
1687737600,30480,30657,29941,30274
1687824000,30278,31025,30235,30696
1687910400,30697,30712,29868,30079
1687996800,30078,30825,30041,30444
1688083200,30445,31268,29508,30469
1688169600,30469,30647,30321,30592
1688256000,30590,30785,30175,30616
1688342400,30616,31378,30587,31158
1688428800,31165,31327,30637,30771
1688515200,30767,30866,30206,30501
1688601600,30498,31500,29868,29912
1688688000,29901,30445,29722,30348
1688774400,30348,30383,30056,30293
1688860800,30293,30439,30073,30167
1688947200,30170,31037,29964,30421
1689033600,30417,30804,30310,30621
1689120000,30631,30960,30219,30382
1689206400,30383,31818,30259,31471
1689292800,31474,31635,29961,30331
1689379200,30328,30403,30260,30301
1689465600,30300,30442,30067,30253
1689552000,30247,30341,29675,30154
1689638400,30144,30244,29521,29868
1689724800,29862,30188,29757,29919
1689811200,29917,30414,29567,29806
1689897600,29806,30051,29735,29908
1689984000,29908,29995,29640,29789
1690070400,29790,30342,29742,30085
1690156800,30085,30099,28842,29177
1690243200,29176,29362,29054,29224
1690329600,29224,29678,29100,29354
1690416000,29353,29563,29081,29219
1690502400,29214,29525,29121,29317
1690588800,29316,29404,29251,29360
1690675200,29360,29446,29034,29279
1690761600,29279,29511,29115,29231
1690848000,29221,29715,28574,29696
1690934400,29697,30025,28929,29164
1691020800,29157,29395,28925,29176
1691107200,29175,29306,28784,29077
1691193600,29075,29107,28950,29049
1691280000,29049,29159,28962,29042
1691366400,29041,29244,28671,29181
1691452800,29186,30210,29107,29764
1691539200,29776,30119,29352,29565
1691625600,29565,29703,29294,29423
1691712000,29424,29525,29222,29398
1691798400,29398,29465,29350,29415
1691884800,29415,29443,29254,29284
1691971200,29280,29659,29086,29408
1692057600,29408,29455,29060,29172
1692144000,29171,29224,28693,28701
1692230400,28692,28757,26266,26642
1692316800,26632,26813,25601,26051
1692403200,26051,26264,25798,26097
1692489600,26097,26297,25979,26192
1692576000,26193,26240,25828,26125
1692662400,26125,26137,25350,26042
1692748800,26048,26800,25805,26431
1692835200,26429,26562,25852,26168
1692921600,26169,26281,25748,26048
1693008000,26050,26102,25976,26008
1693094400,26007,26168,25962,26090
1693180800,26087,26223,25856,26103
1693267200,26103,28142,25913,27726
1693353600,27722,27757,27006,27300
1693440000,27302,27537,25683,25932
1693526400,25927,26134,25333,25798
1693612800,25801,25980,25753,25870
1693699200,25870,26112,25807,25970
1693785600,25972,26081,25646,25819
1693872000,25827,25862,25547,25783
1693958400,25779,26000,25386,25748
1694044800,25750,26417,25600,26245
1694131200,26256,26429,25652,25908
1694217600,25908,25927,25801,25899
1694304000,25899,26018,25588,25836
1694390400,25839,25881,24920,25155
1694476800,25157,26529,25129,25844
1694563200,25842,26395,25762,26226
1694649600,26229,26849,26143,26529
1694736000,26529,26878,26228,26607
1694822400,26609,26767,26459,26571
1694908800,26571,26618,26414,26535
1694995200,26533,27422,26382,26770
1695081600,26766,27486,26682,27214
1695168000,27220,27389,26852,27128
1695254400,27124,27177,26376,26563
1695340800,26568,26733,26479,26581
1695427200,26577,26634,26519,26583
1695513600,26582,26730,26148,26248
1695600000,26215,26436,25977,26297
1695686400,26298,26386,26085,26208
1695772800,26203,26823,26095,26361
1695859200,26361,27297,26325,27026
1695945600,27029,27235,26682,26911
1696032000,26910,27093,26884,26966
1696118400,26965,28053,26959,27995
1696204800,27995,28592,27333,27507
1696291200,27509,27670,27170,27435
1696377600,27431,27831,27221,27790
1696464000,27787,28125,27369,27417
1696550400,27420,28301,27185,27948
1696636800,27945,28034,27864,27971
1696723200,27976,28104,27715,27933
1696809600,27930,27996,27280,27594
1696896000,27598,27733,27294,27395
1696982400,27394,27474,26533,26874
1697068800,26870,26933,26545,26756
1697155200,26744,27108,26675,26867
1697241600,26867,26981,26800,26855
1697328000,26858,27299,26814,27174
1697414400,27161,29900,27123,28518
1697500800,28520,28627,28081,28408
1697587200,28408,28984,28156,28328
1697673600,28327,28916,28138,28733
1697760000,28734,30233,28595,29688
1697846400,29682,30364,29483,29927
1697932800,29921,30247,29678,30002
1698019200,30007,34283,29898,33074
1698105600,33090,35198,32852,33917
1698192000,33928,35138,33686,34498
1698278400,34494,34834,33738,34165
1698364800,34148,34245,33407,33906
1698451200,33902,34506,33878,34091
1698537600,34090,34755,33945,34538
1698624000,34549,34860,34095,34495
1698710400,34489,34730,34061,34661
1698796800,34667,35612,34102,35440
1698883200,35440,35968,34320,34937
1698969600,34947,34947,34132,34727
1699056000,34734,35276,34609,35086
1699142400,35086,35396,34495,35045
1699228800,35043,35290,34766,35042
1699315200,35061,35891,34530,35414
1699401600,35417,36150,35111,35640
1699488000,35633,37978,35578,36693
1699574400,36700,37558,36343,37319
1699660800,37350,37422,36673,37152
1699747200,37136,37237,36758,37086
1699833600,37085,37421,36355,36485
1699920000,36474,36749,35002,35564
1700006400,35558,37975,35378,37877
1700092800,37886,37960,35539,36165
1700179200,36167,36800,35891,36625
1700265600,36626,36851,36211,36590
1700352000,36591,37520,36420,37426
1700438400,37426,37769,36716,37480
1700524800,37473,37664,35758,35758
1700611200,35762,37865,35651,37424
1700697600,37432,37649,36886,37301
1700784000,37312,38437,37266,37746
1700870400,37750,37908,37619,37809
1700956800,37811,37837,37173,37460
1701043200,37467,37574,36727,37240
1701129600,37256,38420,36883,37839
1701216000,37842,38457,37597,37863
1701302400,37864,38173,37510,37719
1701388800,37731,39000,37628,38707
1701475200,38707,39725,38663,39474
1701561600,39474,40210,39304,39989
1701648000,39988,42404,39988,41985
1701734400,41979,44490,41415,44075
1701820800,44087,44282,43419,43764
1701907200,43764,44044,42849,43291
1701993600,43296,44729,43078,44193
1702080000,44210,44362,43605,43712
1702166400,43710,44038,43582,43786
1702252800,43786,43801,40181,41242
1702339200,41232,42071,40649,41458
1702425600,41483,43440,40589,42888
1702512000,42899,43409,41509,43031
1702598400,43047,43082,41664,41925
1702684800,41926,42676,41639,42246
1702771200,42228,42364,41266,41345
1702857600,41337,42732,40513,42650
1702944000,42664,43456,41794,42258
1703030400,42257,44291,42207,43665
1703116800,43667,44240,43305,43873
1703203200,43871,44409,43430,44002
1703289600,44011,44027,43347,43733
1703376000,43730,43954,42700,43033
1703462400,43015,43807,42771,43591
1703548800,43587,43605,41639,42510
1703635200,42511,43698,42121,43473
1703721600,43468,43812,42288,42583
1703808000,42587,43128,41306,42072
1703894400,42069,42599,41529,42148
1703980800,42148,42867,41976,42258
1704067200,42258,44192,42188,44187
1704153600,44187,45922,44167,44970
1704240000,44972,45510,41454,42865
1704326400,42863,44795,42656,44186
1704412800,44195,44366,42500,44184
1704499200,44189,44253,43440,43999
1704585600,43988,44500,43636,43944
1704672000,43936,47281,43213,46995
1704758400,47012,47897,44903,46124
1704844800,46103,47751,44304,46681
1704931200,46678,49048,45600,46360
1705017600,46343,46516,41509,42778
1705104000,42772,43246,42440,42843
1705190400,42834,43060,41704,41715
1705276800,41701,43324,41680,42493
1705363200,42483,43566,42056,43131
1705449600,43128,43187,42172,42738
1705536000,42738,42871,40600,41283
1705622400,41250,42152,40258,41628
1705708800,41622,41854,41428,41673
1705795200,41658,41849,41485,41560
1705881600,41555,41649,39437,39528
1705968000,39515,40133,38505,39868
1706054400,39849,40515,39461,40074
1706140800,40074,40278,39531,39916
1706227200,39929,42233,39808,41818
1706313600,41817,42187,41396,42124
1706400000,42126,42824,41629,42026
1706486400,42027,43305,41804,43305
1706572800,43302,43853,42692,42946
1706659200,42945,43738,42264,42558
1706745600,42548,43263,41859,43071
1706832000,43075,43451,42538,43183
1706918400,43183,43352,42876,42994
1707004800,42991,43097,42243,42570
1707091200,42568,43515,42244,42659
1707177600,42657,43366,42521,43092
1707264000,43093,44389,42764,44346
1707350400,44342,45587,44325,45300
1707436800,45299,48201,45252,47161
1707523200,47156,48186,46894,47770
1707609600,47770,48601,47593,48313
1707696000,48313,50333,47720,49937
1707782400,49937,50385,48325,49720
1707868800,49728,52093,49267,51844
1707955200,51841,52884,51364,51942
1708041600,51935,52600,51615,52161
1708128000,52163,52210,50647,51664
1708214400,51661,52393,51196,52130
1708300800,52155,52496,51694,51789
1708387200,51776,53015,50770,52275
1708473600,52272,52397,50611,51843
1708560000,51857,52049,50921,51253
1708646400,51252,51507,50519,50743
1708732800,50738,51683,50581,51562
1708819200,51564,51958,51282,51722
1708905600,51738,54969,50909,54524
1708992000,54534,57615,54500,57068
1709078400,57065,64000,56724,62512
1709164800,62512,63684,60365,61161
1709251200,61161,63265,60801,62444
1709337600,62433,62488,61645,62042
1709424000,62034,63249,61402,63142
1709510400,63140,68577,62376,68359
1709596800,68359,69210,59313,63796
1709683200,63815,67645,62843,66120
1709769600,66124,68061,65623,66941
1709856000,66928,70184,66264,68285
1709942400,68285,68685,68053,68463
1710028800,68464,69999,68196,69026
1710115200,69013,72910,67120,72118
1710201600,72105,73054,68636,71473
1710288000,71473,73679,71340,73121
1710374400,73130,73794,68555,71371
1710460800,71387,72415,65569,69516
1710547200,69505,70069,64780,65248
1710633600,65245,68867,64522,68352
1710720000,68344,68902,66585,67613
1710806400,67603,68123,61447,61897
1710892800,61919,68168,60760,67872
1710979200,67842,68249,64537,65485
1711065600,65477,66631,62332,63807
1711152000,63812,66027,63016,64001
1711238400,64007,67613,63807,67188
1711324800,67208,71213,66407,69898
1711411200,69889,71572,69257,69997
1711497600,69999,71754,68362,69421
1711584000,69406,71587,68863,70803
1711670400,70769,70929,69073,69903
1711756800,69934,70344,69586,69613
1711843200,69616,71391,69594,71285
1711929600,71296,71296,68073,69699
1712016000,69694,69706,64545,65469
1712102400,65471,66942,64511,65988
1712188800,65984,69328,65100,68538
1712275200,68522,68767,65999,67857
1712361600,67851,69680,67476,68917
1712448000,68907,70310,68858,69358
1712534400,69336,72756,69073,71613
1712620800,71623,71748,68217,69135
1712707200,69100,71150,67482,70630
1712793600,70638,71287,69555,70015
1712880000,70019,71236,65230,67150
1712966400,67146,67930,61308,64054
1713052800,64039,65859,62162,65749
1713139200,65748,66900,62340,63438
1713225600,63467,64376,61654,63830
1713312000,63821,64636,59672,61278
1713398400,61256,64182,60830,63515
1713484800,63512,65506,59629,63821
1713571200,63847,65450,63136,64990
1713657600,64978,65710,64294,64950
1713744000,64951,67241,64545,66855
1713830400,66845,67201,65837,66421
1713916800,66413,67057,63554,64259
1714003200,64254,65286,62785,64493
1714089600,64488,64793,63306,63745
1714176000,63746,63903,62405,63429
1714262400,63417,64310,62811,63098
1714348800,63106,64181,61764,63832
1714435200,63849,64714,59068,60632
1714521600,60611,60786,56500,58256
1714608000,58272,59623,56932,59099
1714694400,59076,63340,58829,62915
1714780800,62907,64522,62585,63899
1714867200,63901,64625,62947,64021
1714953600,64024,65513,62720,63164
1715040000,63159,64389,62278,62320
